by,descendants,id,score,time,title,type,url,text,domain
achenet,0,43636154,1,1744225135,A Reply to the Bitter Lesson by Rich Sutton,story,https://arielche.net/bitter-lesson.html,,arielche.net
surprisetalk,0,43636109,1,1744225018,Be the node you want to see in the network,story,https://taylor.town/wealth-000,,taylor.town
hn_acker,0,43636098,1,1744224995,Our Privacy Act Lawsuit Against DOGE and OPM: Why a Judge Let It Move Forward,story,https://www.eff.org/deeplinks/2025/04/our-privacy-act-lawsuit-against-doge-and-opm-why-judge-let-it-move-forward,,eff.org
hntrl,0,43636031,1,1744224780,Show HN: Eventkit- a better way to work with data streams in JavaScript,story,https://github.com/hntrl/eventkit,"Hey HN! I&#x27;ve spent the last few weeks working on eventkit, an open source library designed for working with data streams in TS&#x2F;JS.<p>I had a need to track all the work associated with handling application events. If you&#x27;re familiar at all with reactive systems or what that entails, having this sort of functionality is super important.<p>If you&#x27;re familiar with observables or RxJS, this library is very similar but with better side effect management and using async generators. (I found an old HN comment that&#x27;s somewhat related [1])<p>[1] <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=36911516"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=36911516</a><p>I&#x27;d love to hear your feedback!",github.com
srirambhargavk,0,43636010,1,1744224688,Bitcoin Management and Operations for Businesses,story,https://business.theya.us/,,business.theya.us
js2,2,43636002,1,1744224658,Effect of Intake Air Filter Condition on Vehicle Fuel Economy [pdf],story,https://www.fueleconomy.gov/feg/pdfs/air_filter_effects_02_26_2009.pdf,,fueleconomy.gov
rntn,1,43636001,2,1744224658,"Americans die earlier at all wealth levels, even if wealth buys more years",story,https://theconversation.com/americans-die-earlier-at-all-wealth-levels-even-if-wealth-buys-more-years-of-life-in-the-us-than-in-europe-253620,,theconversation.com
skeptrune,0,43636000,1,1744224642,Benchmark measuring ability of LLMs to verify claims about fictional books,story,https://novelchallenge.github.io/,,novelchallenge.github.io
gnabgib,1,43635895,1,1744224330,Will AI improve your life? Here's what 4k researchers think,story,https://www.nature.com/articles/d41586-025-01123-x,,nature.com
foddiangames,0,43635884,1,1744224303,$100K AMD and GPU Mode Competition for LLM Inference Kernels,story,https://twitter.com/a1zhang/status/1910037042186105112,,twitter.com
mooreds,0,43635859,1,1744224202,LLMs Are Kryptonite for Legacy Code (But Don't Let Them Touch It),story,https://the.scapegoat.dev/llms-are-kryptonite-for-legacy-code-but-dont-let-them-touch-it/,,the.scapegoat.dev
begoon,0,43635855,2,1744224189,Meta II (1963) a syntax-oriented compiler writing language,story,https://dl.acm.org/citation.cfm?doid=800257.808896,,dl.acm.org
